Team,Conference,Division,Abbrev_1,Abbrev_2
Miami Dolphins,AFC,AFC East,MIA,
New England Patriots,AFC,AFC East,NE,
New York Jets,AFC,AFC East,NYJ,
Buffalo Bills,AFC,AFC East,BUF,
Baltimore Ravens,AFC,AFC North,BAL,
Cincinnati Bengals,AFC,AFC North,CIN,
Cleveland Browns,AFC,AFC North,CLE,
Pittsburgh Steelers,AFC,AFC North,PIT,
Houston Texans,AFC,AFC South,HOU,
Indianapolis Colts,AFC,AFC South,IND,
Jacksonville Jaguars,AFC,AFC South,JAC,
Tennessee Titans,AFC,AFC South,TEN,
Denver Broncos,AFC,AFC West,DEN,
Kansas City Chiefs,AFC,AFC West,KC,
LA/SD Chargers,AFC,AFC West,LAC,SD
Oakland Raiders,AFC,AFC West,OAK,
Chicago Bears,NFC,NFC North,CHI,
Detroit Lions,NFC,NFC North,DET,
Green Bay Packers,NFC,NFC North,GB,
Minnesota Vikings,NFC,NFC North,MIN,
Arizona Cardinals,NFC,NFC West,ARI,
LA/STL Rams,NFC,NFC West,LAR,STL
San Francisco 49ers,NFC,NFC West,SF,
Seattle Seahawks,NFC,NFC West,SEA,
Atlanta Falcons,NFC,NFC South,ATL,
Carolina Panthers,NFC,NFC South,CAR,
New Orleans Saints,NFC,NFC South,NO,
Tampa Bay Buccaneers,NFC,NFC South,TB,
Dallas Cowboys,NFC,NFC East,DAL,
New York Giants,NFC,NFC East,NYG,
Philadelphia Eagles,NFC,NFC East,PHI,
Washington Redskins,NFC,NFC East,WAS,
